Year;Length;Title;Subject;Actor;Actress;Director;Popularity;Awards
1985;116.0;Back to the Future;Comedy;Fox, Michael J.;Thompson, Lea;Zemeckis, Robert;9.0;No
1963;80.0;Winter Light;Drama;Bjrnstrand, Gunnar;Thulin, Ingrid;Bergman, Ingmar;2.0;No
1963;95.0;Silence, The;Drama;Malmsten, Birger;Thulin, Ingrid;Bergman, Ingmar;79.0;No
1959;100.0;Magician, The;Drama;Sydow, Max von;Thulin, Ingrid;Bergman, Ingmar;3.0;No
1961;154.0;Four Horsemen of the Apocalypse, The;Drama;Ford, Glenn;Thulin, Ingrid;Minnelli, Vincente;71.0;No
1986;99.0;Critical Condition;Comedy;Pryor, Richard;Ticotin, Rachel;Apted, Michael;41.0;No
1989;109.0;Lean on Me;Drama;Freeman, Morgan;Todd, Beverly;Avildsen, John G.;51.0;No
1986;221.0;On Wings of Eagles;Drama;Lancaster, Burt;Towers, Constance;McLaglen, Andrew V.;53.0;No
1941;94.0;Texas;Western;Holden, William;Trevor, Claire;Marshall, George;79.0;No
1939;80.0;Allegheny Uprising;Drama;Wayne, John;Trevor, Claire;Seiter, William A.;53.0;No
1940;95.0;Dark Command;Western;Wayne, John;Trevor, Claire;Walsh, Raoul;52.0;No
1986;103.0;Peggy Sue Got Married;Drama;Cage, Nicolas;Turner, Kathleen;Coppola, Francis Ford;62.0;No
1989;84.0;Dear America, Letters Home from Vietnam;War;De Niro, Robert;Turner, Kathleen;Couturie, Bill;57.0;No
1985;130.0;Prizzi's Honor;Comedy;Nicholson, Jack;Turner, Kathleen;Huston, John;25.0;Yes
1983;90.0;Man with Two Brains, The;Comedy;Martin, Steve;Turner, Kathleen;Reiner, Carl;68.0;No
1984;101.0;Crimes of Passion;Drama;Perkins, Anthony;Turner, Kathleen;Russell, Ken;4.0;No
1985;106.0;Jewel of the Nile, The;Action;Douglas, Michael;Turner, Kathleen;Teague, Lewis;68.0;No
1984;106.0;Romancing the Stone;Action;Douglas, Michael;Turner, Kathleen;Zemeckis, Robert ;83.0;No
1955;117.0;Sea Chase, The;War;Wayne, John;Turner, Lana;Farrow, John;4.0;No
1988;90.0;Cannibal Women in the Avocado Jungle of Death;Comedy;Primus, Barry;Tweed, Shannon;Lawton, J.F.;56.0;No
1986;91.0;Mr Love.;Comedy;Jackson, Barry;Tyzack, Margaret;Battersby, Roy;10.0;No
1968;139.0;2001: A Space Odyssey;Science Fiction;Dullea, Keir;Tyzack, Margaret;Kubrick, Stanley;83.0;No
1966;81.0;Persona;Drama;Bjrnstrand, Gunnar;Ullman, Liv;Bergman, Ingmar;81.0;Yes
1968;88.0;Hour of the Wolf;Drama;Sydow, Max von;Ullman, Liv;Bergman, Ingmar;37.0;No
1969;101.0;Passion of Anna, The;Drama;Sydow, Max von;Ullman, Liv;Bergman, Ingmar;6.0;No
1984;96.0;Dangerous Moves;Drama;Caron, Leslie;Ullman, Liv;Dembo, Richard;7.0;Yes
1957;147.0;Sayonara;Drama;Brando, Marlon;Umeki, Miyoshi;Logan, Joshua;19.0;Yes
1968;158.0;Where Eagles Dare;War;Burton, Richard;Ure, Mary;Hulton, Brian G.;57.0;No
1985;95.0;Teen Wolf;Drama;Fox, Michael J.;Ursitti, Susan;Daniel, Rod;58.0;No
1990;88.0;Amazon;Action;Davi, Robert;Vaananen, Kari;Kaurismki, Mika;30.0;No
1959;88.0;Virgin Spring, The;Drama;Sydow, Max von;Valberg, Brigitta;Bergman, Ingmar;8.0;Yes
1970;97.0;Spider's Stratagem;Drama;Brogi, Giulio;Valli, Alida;Bertolucci, Bernardo;45.0;No
1971;102.0;Play Misty for Me;Mystery;Eastwood, Clint;Walter, Jessica;Eastwood, Clint;47.0;No
1981;88.0;Going Ape;Comedy;Danza, Tony;Walter, Jessica;Kronsberg, Jeremy Joe;65.0;No
1967;127.0;Cool Hand Luke;Drama;Newman, Paul;Van Fleet, Jo;Rosenberg, Stuart;49.0;Yes
1988;89.0;Phantom of the Ritz;Horror;Bergman, Peter;Van Valkenburgh, Deborah;Plone, Allen;85.0;No
1990;85.0;Crash & Burn;Science Fiction;Ganus, Paul;Ward, Megan;Band, Charles;75.0;No
1991;114.0;After Dark My Sweet;Mystery;Patric, Jason;Ward, Rachel;Foley, James;33.0;No
1992;121.0;Christopher Columbus: The Discovery;Adventure;Brando, Marlon;Ward, Rachel;Glen, John;39.0;No
1986;109.0;Young Sherlock Holmes;Mystery;Rowe, Nicholas;Ward, Sophie;Levinson, Barry;16.0;No
1991;104.0;Doc Hollywood;Comedy;Fox, Michael J.;Warner, Julie;Caton-Jones, Michael;64.0;No
1988;96.0;Baja Oklahoma;Comedy;Coyote, Peter;Warren, Lesley Ann;Roth, Bobby;71.0;No
1986;137.0;Aliens;Science Fiction;Biehn, Michael;Weaver, Sigourney;Cameron, James;82.0;No
1992;115.0;Alien Three;Science Fiction;Dutton, Charles;Weaver, Sigourney;Fincher, David;59.0;No
1997;109.0;Alien: resurrection;Science Fiction;Perlman, Ron;Weaver, Sigourney;Jeunet, Jean-Pierre;60.0;No
1979;117.0;Alien;Science Fiction;Skerritt, Tom;Weaver, Sigourney;Scott, Ridley;83.0;No
1985;97.0;One Woman or Two;Comedy;Depardieu, Grard;Weaver, Sigourney;Vigne, Daniel;64.0;No
1984;96.0;Soggy Bottom U. S. A.;Comedy;Johnson, Ben;Wedgeworth, Ann;Flicker, Theodore J.;50.0;No
1973;96.0;Bang the Drum Slowly;Drama;Moriarty, Michael;Wedgeworth, Ann;Hancock, John D.;73.0;No
1974;82.0;Catamount Killing, The;Action;Buchholz, Horst;Wedgeworth, Ann;Zanussi, Krzystoff;84.0;No
1972;92.0;Fuzz;Action;Reynolds, Burt;Welch, Raquel;Colla, Richard A.;37.0;No
1966;101.0;Shoot Loud, Louder, I Don't Understand!;Mystery;Mastroianni, Marcello;Welch, Raquel;De Filippo, Eduardo;70.0;No
1967;107.0;Bedazzled;Comedy;Cook, Peter;Welch, Raquel;Donen, Stanley;67.0;No
1977;120.0;Prince & the Pauper, The;Action;Reed, Oliver;Welch, Raquel;Fleischer, Richard;86.0;No
1969;110.0;One Hundred Rifles;Western;Reynolds, Burt;Welch, Raquel;Gries, Tom;48.0;No
1975;90.0;Wild Party, The;Drama;Dukes, David;Welch, Raquel;Ivory, James;75.0;No
1968;106.0;Bandolero!;Western;Stewart, James;Welch, Raquel;McLaglen, Andrew V.;9.0;No
1973;119.0;Last of Sheila, The;Mystery;Coburn, James;Welch, Raquel;Ross, Herbert;39.0;No
1988;161.0;Bird;Drama;Whitaker, Forest;Venora, Diane;Eastwood, Clint;24.0;No
1987;88.0;Hell Comes to Frogtown;Science Fiction;LeFlore, Julius;Verrell, Cec;Jackson, Donald G;74.0;No
1966;126.0;Fortune Cookie, The;Comedy;Lemmon, Jack;West, Judi;Wilder, Billy;3.0;Yes
1990;92.0;Sun Shines Bright, The;Action;Winninger, Charles;Whelan, Arleen;Ford, John;46.0;No
1987;106.0;Squeeze, The;Action;Keach, Stacy;White, Carol;Apted, Michael;23.0;No
1970;91.0;Start the Revolution Without Me;Comedy;Wilder, Gene;Whitelaw, Billie;Yorkin, Bud;62.0;No
1989;107.0;Major League;Comedy;Sheen, Charlie;Whitton, Margaret;Ward, David S.;64.0;No
1990;108.0;Bright Lights, Big City;Drama;Fox, Michael J.;Wiest, Dianne;Bridges, James;30.0;No
1987;97.0;Lost Boys, The;Horror;Patric, Jason;Wiest, Dianne;Schumacher, Joel;67.0;No
1989;93.0;Cookie;Comedy;Falk, Peter;Wiest, Dianne;Seidelman, Susan;43.0;No
1974;114.0;Conversation, The;Drama;Hackman, Gene;Williams, Cindy;Coppola, Francis Ford;59.0;Yes
1973;112.0;American Graffiti;Comedy;Dreyfuss, Richard;Williams, Cindy;Lucas, George;39.0;Yes
1953;96.0;Dangerous When Wet;Music;Lamas, Fernando;Williams, Esther;Walters, Charles;67.0;No
1980;111.0;Stir Crazy;Comedy;Pryor, Richard;Williams, JoBeth;Poitier, Sidney;40.0;No
1989;91.0;Young Einstein;Comedy;Serious, Yahoo;Wilson, Pee-Wee;Serious, Yahoo;47.0;No
1956;83.0;Killing, The;Drama;Hayden, Sterling;Windsor, Marie;Kubrick, Stanley;51.0;No
1973;102.0;Cahill, United States Marshal;Western;Wayne, John;Windsor, Marie;McLaglen, Andrew V.;12.0;No
1989;90.0;Savage Intruder, The;Horror;Garfield, John David;Wing, Virginia;Wolfe, Donald;24.0;No
1992;139.0;Sheltering Sky, The;Drama;Malkovich, John;Winger, Debra;Bertolucci, Bernardo;64.0;No
1982;125.0;An Officer & a Gentleman;Drama;Gere, Richard;Winger, Debra;Hackford, Taylor;1.0;Yes
1987;101.0;Black Widow;Mystery;Hopper, Dennis;Winger, Debra;Rafelson, Bob;54.0;No
1986;116.0;Legal Eagles;Comedy;Redford, Robert;Winger, Debra;Reitman, Ivan;39.0;No
1970;90.0;Bloody Mama;Action;Stroud, Don;Winters, Shelley;Corman, Roger;17.0;No
1965;106.0;A Patch of Blue;Drama;Poitier, Sidney;Winters, Shelley;Green, Guy;51.0;No
1955;109.0;I Died a Thousand Times;Drama;Palance, Jack;Winters, Shelley;Heisler, Stuart;23.0;No
1977;90.0;Tentacles;Horror;Huston, John;Winters, Shelley;Hellman, Oliver;62.0;No
1968;100.0;Scalphunters, The;Western;Lancaster, Burt;Winters, Shelley;Pollack, Sydney;33.0;No
1992;96.0;A Day in October;Drama;Sweeney, D. B.;Wolf, Kelly;Madsen, Kenneth;76.0;No
1964;102.0;A Fistful of Dollars;Westerns;Eastwood, Clint;Volonte, Gian Maria;Leone, Sergio;61.0;No
1985;94.0;My Science Project;Comedy;Stockwell, John;Von Zerneck, Danielle;Betnel, Jonathan;84.0;No
1991;160.0;Great Race, The;Comedy;Moore, Dudley;Wood, Natalie;Edwards, Blake;88.0;No
1956;119.0;Searchers, The;Western;Wayne, John;Wood, Natalie;Ford, John;9.0;No
1979;105.0;Meteor;Action;Connery, Sean;Wood, Natalie;Neame, Ronald;5.0;No
1955;111.0;Rebel Without a Cause;Drama;Dean, James;Wood, Natalie;Ray, Nicholas;82.0;No
1961;153.0;West Side Story;Music;Beymer, Richard;Wood, Natalie;Wise, Robert;38.0;Yes
1970;110.0;Trash;Comedy;Dallesandro, Joe;Woodlawn, Holly;Morrissey, Paul;68.0;No
1966;95.0;A Big Hand for the Little Lady;Comedy;Fonda, Henry;Woodward, Joanne;Cook, Fielder;12.0;No
1966;104.0;A Fine Madness;Comedy;Connery, Sean;Woodward, Joanne;Kershner, Irvin;6.0;No
1987;134.0;Glass Menagerie, The;Drama;Malkovich, John;Woodward, Joanne;Newman, Paul;68.0;No
1989;117.0;Harry & Son;Drama;Newman, Paul;Woodward, Joanne;Newman, Paul;57.0;No
1968;102.0;Rachel, Rachel;Drama;Olson, James;Woodward, Joanne;Newman, Paul;32.0;No
1961;98.0;Paris Blues;Drama;Newman, Paul;Woodward, Joanne;Ritt, Martin;54.0;No
1991;144.0;State of Grace;Drama;Penn, Sean;Wright, Robin;Joanou, Phil;49.0;No
1943;108.0;Shadow of a Doubt;Drama;Cotten, Joseph;Wright, Teresa;Hitchcock, Alfred;32.0;No
1950;85.0;Men, The;Drama;Brando, Marlon;Wright, Teresa;Zinnemann, Fred;27.0;No
1950;110.0;Stage Fright;Mystery;Wilding, Michael;Wyman, Jane;Hitchcock, Alfred;72.0;No
1947;103.0;Magic Town;Drama;Stewart, James;Wyman, Jane;Wellman, William;4.0;No
1975;93.0;That Lucky Touch;Action;Moore, Roger;York, Susannah;Miles, Christopher;85.0;No
1949;90.0;Lust for Gold;Drama;Ford, Glenn;Young, Gig;Simon, S. Sylvan;57.0;No
1987;103.0;Heat;Mystery;Reynolds, Burt;Young, Karen;Jameson, Jerry;69.0;No
1947;87.0;Night Is My Future;Drama;Malmsten, Birger;Zetterling, Mai;Bergman, Ingmar;17.0;No
1990;92.0;Witches, The;Science Fiction;Fisher, Jasen;Zetterling, Mai;Roeg, Nicolas;18.0;No
